endTime,artistName,trackName,msPlayed
2022-05-08 07:06,Idina Menzel,Show Yourself,30215
2022-05-10 16:18,Dexter Gordon,Blue bossa,139449
2022-05-11 15:28,The Cannonball Adderley Quintet,Work Song - Remastered,307626
2022-05-11 15:32,Dizzy Gillespie,On The Sunny Side Of The Street,262774
2022-05-11 21:54,Randy Newman,"Monsters, Inc.",893
2022-05-11 21:55,Clifford Brown,Sandu,1857
2022-05-11 22:02,Chet Baker,Autumn Leaves,422640
2022-05-11 22:05,Duke Ellington,Satin Doll,179333
2022-05-11 22:08,Frank Sinatra,"New York, New York",210360
2022-05-11 22:14,Oscar Peterson,Blue And Sentimental,326
2022-05-11 22:14,Dizzy Gillespie,A Night In Tunisia,334333
2022-05-12 15:25,Frank Sinatra,Fly Me To The Moon - 2008 Remastered,4608
2022-05-12 15:25,Duke Ellington,Satin Doll,158570
2022-05-12 15:29,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),217466
2022-05-12 15:33,Sean Paul,No Lie,221176
2022-05-12 21:16,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,8467
2022-05-12 21:20,Calvin Harris,One Kiss (with Dua Lipa),214846
2022-05-12 21:20,Amy Winehouse,Back To Black,3405
2022-05-12 21:24,Lana Del Rey,Summertime Sadness,265427
2022-05-12 21:27,WILLOW,Wait a Minute!,196520
2022-05-12 23:21,WILLOW,Wait a Minute!,597
2022-05-12 23:21,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),215708
2022-05-12 23:24,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),217099
2022-05-12 23:25,The Weeknd,Blinding Lights,11221
2022-05-12 23:25,Calvin Harris,Promises (with Sam Smith),12288
2022-05-12 23:25,The Weeknd,In The Night,7295
2022-05-12 23:30,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",288600
2022-05-12 23:33,Calvin Harris,How Deep Is Your Love,212640
2022-05-12 23:35,Maroon 5,Misery,1450
2022-05-12 23:35,Skrillex,Bangarang (feat. Sirah),106997
2022-05-12 23:39,Coldplay,Adventure of a Lifetime,263786
2022-05-12 23:41,Poncho,Please Me,121057
2022-05-12 23:45,Calvin Harris,This Is What You Came For,222160
2022-05-13 02:41,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3669
2022-05-13 02:41,Shawn Mendes,Treat You Better,1450
2022-05-13 02:41,Post Malone,Psycho (feat. Ty Dolla $ign),122726
2022-05-13 02:45,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",223413
2022-05-13 02:49,G-Eazy,"Me, Myself & I",6109
2022-05-13 02:49,Maroon 5,Payphone,231173
